epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,4244.55,0.68615,0.41415,0.99559,0.99899,1,0.995,0.8618,0.56901,0.29955,0.88411,0.000742815,0.000742815,0.000742815
114,4285.66,0.68566,0.40917,1.00117,0.99854,1,0.995,0.86001,0.57978,0.30264,0.88437,0.000734564,0.000734564,0.000734564
115,4326.88,0.66256,0.40533,0.99437,0.99804,1,0.995,0.85902,0.58461,0.30334,0.88792,0.000726312,0.000726312,0.000726312
116,4368.36,0.69162,0.40847,1.00157,0.99866,1,0.995,0.86266,0.57564,0.29392,0.8822,0.00071806,0.00071806,0.00071806
117,4409.01,0.69082,0.40929,1.02045,0.99894,1,0.995,0.86133,0.57632,0.29579,0.88714,0.000709809,0.000709809,0.000709809
118,4449.29,0.69259,0.42011,1.0051,0.99918,1,0.995,0.85836,0.58831,0.30165,0.88632,0.000701557,0.000701557,0.000701557
119,4489.66,0.6777,0.414,1.01082,0.99913,1,0.995,0.86663,0.574,0.29162,0.88114,0.000693305,0.000693305,0.000693305
120,4529.76,0.69136,0.40788,1.00127,0.99916,1,0.995,0.86049,0.58081,0.29987,0.88147,0.000685054,0.000685054,0.000685054
121,4570.19,0.67092,0.41689,0.99623,0.99901,1,0.995,0.86883,0.56758,0.28295,0.88128,0.000676802,0.000676802,0.000676802
122,4611.4,0.66108,0.4009,0.99908,0.99893,1,0.995,0.86134,0.56054,0.28325,0.87977,0.00066855,0.00066855,0.00066855
123,4652.61,0.69488,0.4221,1.01813,0.99861,1,0.995,0.86887,0.55632,0.28894,0.87658,0.000660299,0.000660299,0.000660299
124,4693.78,0.65682,0.41289,0.99822,0.99875,1,0.995,0.8522,0.60611,0.29981,0.89068,0.000652047,0.000652047,0.000652047
125,4734.91,0.65978,0.39222,0.98796,0.99854,1,0.995,0.86199,0.55052,0.2902,0.87882,0.000643795,0.000643795,0.000643795
126,4776.5,0.67224,0.41333,1.00564,0.99893,1,0.995,0.86732,0.53823,0.28095,0.87557,0.000635544,0.000635544,0.000635544
127,4817.81,0.67315,0.42957,1.00582,0.99924,1,0.995,0.86277,0.54788,0.29281,0.87821,0.000627292,0.000627292,0.000627292
128,4859.12,0.67737,0.40781,1.00439,0.99897,1,0.995,0.8562,0.557,0.29408,0.88547,0.00061904,0.00061904,0.00061904
129,4900.49,0.68132,0.39975,1.00769,0.99878,1,0.995,0.86551,0.56041,0.2907,0.88353,0.000610789,0.000610789,0.000610789
130,4941.39,0.65916,0.38868,0.99021,0.99864,1,0.995,0.86102,0.57178,0.28619,0.88908,0.000602537,0.000602537,0.000602537
131,4982.32,0.6328,0.38923,0.98517,0.9989,1,0.995,0.86189,0.5771,0.28484,0.89265,0.000594286,0.000594286,0.000594286
132,5023.54,0.64797,0.39524,1.00562,0.99898,1,0.995,0.86964,0.55482,0.28125,0.88713,0.000586034,0.000586034,0.000586034
133,5064.71,0.63292,0.40534,0.98484,0.99905,1,0.995,0.87268,0.53975,0.27163,0.87523,0.000577782,0.000577782,0.000577782
134,5105.74,0.6689,0.40341,1.00709,0.99916,1,0.995,0.87382,0.54754,0.27033,0.87683,0.000569531,0.000569531,0.000569531
135,5147.07,0.66687,0.39645,1.00434,0.99922,1,0.995,0.8712,0.55098,0.27149,0.87607,0.000561279,0.000561279,0.000561279
136,5188.12,0.66483,0.39246,1.00634,0.9991,1,0.995,0.86857,0.55261,0.28013,0.87162,0.000553027,0.000553027,0.000553027
137,5229.13,0.63139,0.39668,0.9845,0.99872,1,0.995,0.87864,0.54312,0.27415,0.87174,0.000544776,0.000544776,0.000544776
138,5270.72,0.65304,0.40399,0.99096,0.99866,1,0.995,0.87449,0.54,0.27503,0.8719,0.000536524,0.000536524,0.000536524
139,5312.23,0.6701,0.3945,1.00395,0.99923,1,0.995,0.86452,0.54948,0.27663,0.8738,0.000528272,0.000528272,0.000528272
140,5353.6,0.66533,0.4032,1.00761,0.99882,1,0.995,0.87744,0.54342,0.26526,0.87262,0.000520021,0.000520021,0.000520021
141,5394.73,0.63488,0.38028,0.98935,0.99895,1,0.995,0.88123,0.55583,0.27521,0.8793,0.000511769,0.000511769,0.000511769
142,5435.74,0.65246,0.40528,0.99345,0.99904,1,0.995,0.88022,0.55375,0.27376,0.88005,0.000503517,0.000503517,0.000503517
143,5476.88,0.66095,0.39686,0.99555,0.99882,1,0.995,0.87959,0.5571,0.27662,0.87732,0.000495266,0.000495266,0.000495266
144,5517.92,0.64029,0.40315,0.99054,0.99912,1,0.995,0.87036,0.5481,0.28227,0.87634,0.000487014,0.000487014,0.000487014
145,5558.95,0.65068,0.40209,0.9922,0.99912,1,0.995,0.87234,0.54703,0.27423,0.87289,0.000478762,0.000478762,0.000478762
146,5599.9,0.64396,0.37911,0.97713,0.99909,1,0.995,0.86694,0.54525,0.26485,0.8773,0.000470511,0.000470511,0.000470511
147,5641.33,0.62673,0.382,0.98621,0.99916,1,0.995,0.8801,0.52959,0.26164,0.87237,0.000462259,0.000462259,0.000462259
148,5682.11,0.61483,0.36492,0.97401,0.99906,1,0.995,0.88368,0.52192,0.26025,0.87077,0.000454007,0.000454007,0.000454007
149,5722.82,0.63949,0.39588,0.9967,0.99932,1,0.995,0.86827,0.53992,0.26604,0.87916,0.000445756,0.000445756,0.000445756
150,5763.59,0.63906,0.37556,0.9826,0.99922,1,0.995,0.87034,0.53721,0.27241,0.87462,0.000437504,0.000437504,0.000437504
151,5804.42,0.63961,0.37977,1.00092,0.99892,1,0.995,0.87369,0.53851,0.2724,0.87347,0.000429253,0.000429253,0.000429253
152,5845.28,0.62504,0.38036,0.9895,0.99868,1,0.995,0.88113,0.53091,0.26317,0.86945,0.000421001,0.000421001,0.000421001
153,5886.12,0.61166,0.38565,0.97792,0.99869,1,0.995,0.88329,0.52712,0.25922,0.86578,0.000412749,0.000412749,0.000412749
154,5926.92,0.63771,0.37837,0.98596,0.99872,1,0.995,0.8818,0.52482,0.25963,0.86798,0.000404498,0.000404498,0.000404498
155,5967.61,0.58611,0.36197,0.95881,0.99889,1,0.995,0.88341,0.51272,0.25874,0.86474,0.000396246,0.000396246,0.000396246
156,6008.23,0.60488,0.3522,0.97008,0.99905,1,0.995,0.88642,0.50162,0.25408,0.86058,0.000387994,0.000387994,0.000387994
157,6048.7,0.62026,0.36431,0.98452,0.99902,1,0.995,0.87858,0.51075,0.25563,0.86455,0.000379743,0.000379743,0.000379743
158,6088.89,0.62037,0.37175,0.98022,0.99885,1,0.995,0.88935,0.50504,0.25264,0.86144,0.000371491,0.000371491,0.000371491
159,6129.31,0.61622,0.37317,0.97963,0.99868,1,0.995,0.88871,0.51339,0.25695,0.86078,0.000363239,0.000363239,0.000363239
160,6169.7,0.62403,0.36981,0.98264,0.99868,1,0.995,0.88752,0.50349,0.25646,0.86004,0.000354988,0.000354988,0.000354988
161,6210.19,0.59369,0.35308,0.97089,0.99849,1,0.995,0.89518,0.4966,0.25277,0.85574,0.000346736,0.000346736,0.000346736
162,6250.5,0.5956,0.35726,0.96703,0.99832,1,0.995,0.89406,0.50255,0.25175,0.85757,0.000338484,0.000338484,0.000338484
163,6290.99,0.61218,0.3649,0.97337,0.99856,1,0.995,0.89972,0.49676,0.2475,0.85553,0.000330233,0.000330233,0.000330233
164,6331.8,0.60716,0.36308,0.96786,0.99866,1,0.995,0.89755,0.49558,0.24786,0.85392,0.000321981,0.000321981,0.000321981
165,6371.03,0.60078,0.35882,0.97169,0.99834,1,0.995,0.89745,0.4925,0.24968,0.85345,0.000313729,0.000313729,0.000313729
166,6409.27,0.59471,0.35695,0.96896,0.99836,1,0.995,0.90078,0.48359,0.24827,0.84996,0.000305478,0.000305478,0.000305478
167,6447.39,0.58292,0.34115,0.96377,0.99867,1,0.995,0.88459,0.48794,0.25016,0.85169,0.000297226,0.000297226,0.000297226
168,6485.26,0.58972,0.35364,0.97409,0.99879,1,0.995,0.88899,0.48847,0.25063,0.85176,0.000288974,0.000288974,0.000288974
169,6524.58,0.58783,0.35967,0.96117,0.99889,1,0.995,0.89186,0.49159,0.25014,0.85264,0.000280723,0.000280723,0.000280723
170,6563.91,0.61403,0.36135,0.97989,0.99872,1,0.995,0.89588,0.48875,0.25063,0.85398,0.000272471,0.000272471,0.000272471
171,6603.36,0.59371,0.36232,0.9723,0.99902,1,0.995,0.88806,0.50326,0.25023,0.8583,0.00026422,0.00026422,0.00026422
172,6642.59,0.59075,0.34386,0.96811,0.99924,1,0.995,0.89726,0.47106,0.24016,0.84797,0.000255968,0.000255968,0.000255968
173,6682.03,0.58284,0.34686,0.96458,0.99916,1,0.995,0.9,0.47033,0.23735,0.846,0.000247716,0.000247716,0.000247716
174,6721.14,0.58231,0.34569,0.9641,0.99924,1,0.995,0.89501,0.48331,0.24091,0.85025,0.000239465,0.000239465,0.000239465
175,6760.33,0.5832,0.333,0.95974,0.99913,1,0.995,0.89343,0.48883,0.24226,0.85174,0.000231213,0.000231213,0.000231213
176,6799.76,0.58958,0.34009,0.95587,0.99895,1,0.995,0.90462,0.47846,0.23788,0.84806,0.000222961,0.000222961,0.000222961
177,6838.95,0.60289,0.35161,0.96279,0.99906,1,0.995,0.90574,0.48128,0.24119,0.85077,0.00021471,0.00021471,0.00021471
178,6878.28,0.58916,0.37312,0.96271,0.99918,1,0.995,0.90575,0.4757,0.24055,0.85064,0.000206458,0.000206458,0.000206458
179,6917.67,0.57206,0.34097,0.96454,0.99921,1,0.995,0.90257,0.47146,0.24327,0.85032,0.000198206,0.000198206,0.000198206
180,6957.04,0.59461,0.36355,0.97297,0.99915,1,0.995,0.90238,0.47356,0.24275,0.85127,0.000189955,0.000189955,0.000189955
181,6996.21,0.57224,0.33704,0.96532,0.99923,1,0.995,0.90709,0.47267,0.23975,0.85157,0.000181703,0.000181703,0.000181703
182,7035.47,0.56296,0.3315,0.96237,0.9993,1,0.995,0.90554,0.46942,0.23754,0.84991,0.000173451,0.000173451,0.000173451
183,7074.79,0.56769,0.33518,0.95664,0.9992,1,0.995,0.9052,0.46696,0.23634,0.84576,0.0001652,0.0001652,0.0001652
184,7114.05,0.57484,0.35557,0.95903,0.99926,1,0.995,0.90459,0.46425,0.23365,0.84635,0.000156948,0.000156948,0.000156948
185,7153.23,0.56645,0.34301,0.9645,0.99935,1,0.995,0.90238,0.46219,0.23237,0.84633,0.000148696,0.000148696,0.000148696
186,7192.54,0.55084,0.35649,0.95741,0.99929,1,0.995,0.90659,0.4552,0.23486,0.84293,0.000140445,0.000140445,0.000140445
187,7231.71,0.57127,0.33202,0.95659,0.99927,1,0.995,0.90483,0.45887,0.23728,0.84286,0.000132193,0.000132193,0.000132193
188,7270.92,0.57589,0.33408,0.96607,0.99928,1,0.995,0.90616,0.45653,0.23506,0.84223,0.000123941,0.000123941,0.000123941
189,7310.27,0.58395,0.34211,0.95479,0.99928,1,0.995,0.90815,0.45644,0.23256,0.84177,0.00011569,0.00011569,0.00011569
